1646054172.0581102 -1.1658652510959655e-05 -1.1658652510959655e-05 -1.1658652510959655e-05  -1.1658652510959655e-05 -1.1658652510959655e-05 -1.1658652510959655e-05 -1.1658652510959655e-05 -1.1658652510959655e-05 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.0722606 -0.33475227511371486 -0.001664756222453434 0.8349423127510818  -2.8745387858725735 -9.088113457568397 -8.625036590303353 -10.651059002651891 -8.219841421057936 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.082409 0.054121466011565644 -0.008579826338973362 0.7741967978072353  -2.929859346819285 -8.68291828832298 -8.740799986349884 -10.014290475177404 -8.625036590303353 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.0881338 5.683221372812113 0.8239294232989778 0.7125665264175041  -2.931791841161612 -8.856586665468058 -8.972350061521865 -8.567154892276449 -8.104054741939763 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.1045916 -2.690067066861957 -1.7291982833412476 0.6843707354637445  -2.8757262221552082 -8.219841421057936 -8.277723119077564 -8.219841421057936 -7.525191195549269 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.1246092 4.247378076128371 0.19952420300251106 0.6294692696756101  -2.6043621069111396 -7.00423263025732 -7.351546101475833 -6.193819008702121 -7.467309497529641 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.1441457 -1.5000929299349082 -0.5955458791286219 0.5858833731763298  -2.3388886069587898 -4.573015048656089 -4.7466601427368005 -2.257560863108665 -4.80456512382807 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.165462 2.935260983511398 0.7171765731618507 0.5691428498903406  -1.7279177148011513 -1.0998570533993188 -1.7944839958363445 3.357382940550451 -3.299524559828569 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.1794224 2.340145858193864 0.33200483927794266 0.5764071659723413  0.061781594187777955 2.894282790213765 0.810401962902688 8.335581499799446 1.1577154341212008 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.19204 2.1251733248573146 0.31244706520374166 0.6152433173483587  1.4903838578538853 5.151855277741561 5.267618673788093 10.130053836990555 4.283559958159458 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.2067726 -2.608948870591121 0.9272130968529382 0.6405054421848035  1.8762308006043895 7.119972709006106 6.541109162615612 10.824680779427581 6.251677389424003 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.2191548 1.7336685974587454 -3.1150528408252285 0.6994814442368806  2.7945847085793503 8.740776669044863 9.030208442243747 13.429566738166614 8.509249876944523 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.241612 -4.701979942205071 0.18026910877233604 0.7716822268557735  3.3953576185376733 13.198016663001908 10.130053836990555 15.050370698212646 10.882562477454485 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.2735796 7.048982645734213 -1.8228194851762964 0.9007169695978519  4.233082274600747 13.255898361028812 13.140134964975005 16.55541126220487 12.792798210692126 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.2915087 4.6805594887482584 -1.946149877148855 0.9960145520672086  4.657532538083615 14.471507151822152 14.413625453802524 17.713115071914217 14.12419368060364 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.3082325 -3.0796160168465576 -0.43151669063809095 1.0469113307772204  4.920095654990291 15.166134094266454 14.645152245902864 18.234096920277807 14.413625453802524 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.3250017 -2.6164693003884167 -4.078319779968297 1.1519412341585848  5.231669622400659 15.687115942622768 15.455565867458063 17.713115071914217 15.744997640649672 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.3337338 1.0986462998116622 2.194277459908335 1.2071453797834693  5.294603745394852 16.497529564177967 16.497529564177967 18.002546845105826 15.802879338676576 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.3572655 -1.1736643674594234 -0.8811126636355766 1.3206037524578278  5.693046825974307 16.84484303539648 16.67117465825868 17.423683298722608 17.076369827504095 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.3664207 -0.9936862798713264 1.0399264114676043 1.3797427359604626  5.703431072681269 16.78693805430521 17.250038204641896 17.481588279813877 17.01848812947719 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.3877275 -0.9936862798713264 1.0399264114676043 1.3797427359604626  5.703431072681269 16.78693805430521 17.250038204641896 17.481588279813877 17.01848812947719 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.3991141 -0.9936862798713264 1.0399264114676043 1.3797427359604626  5.703431072681269 16.78693805430521 17.250038204641896 17.481588279813877 17.01848812947719 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.415468 -0.9936862798713264 1.0399264114676043 1.3797427359604626  5.703431072681269 16.78693805430521 17.250038204641896 17.481588279813877 17.01848812947719 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.439755 -0.9936862798713264 1.0399264114676043 1.3797427359604626  5.703431072681269 16.78693805430521 17.250038204641896 17.481588279813877 17.01848812947719 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.455377 -0.9936862798713264 1.0399264114676043 1.3797427359604626  5.703431072681269 16.78693805430521 17.250038204641896 17.481588279813877 17.01848812947719 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.4713533 -0.9936862798713264 1.0399264114676043 1.3797427359604626  5.703431072681269 16.78693805430521 17.250038204641896 17.481588279813877 17.01848812947719 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.4852707 -0.9936862798713264 1.0399264114676043 1.3797427359604626  5.703431072681269 16.78693805430521 17.250038204641896 17.481588279813877 17.01848812947719 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.4973967 4.1688443000020925 -7.168867178421351 2.164801100414479  5.080865214469668 15.224015792286082 14.297838774684351 15.166134094266454 14.992489000185742 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.5136876 0.9655603038700065 1.329521166109771 2.2613559683595668  4.812155368570529 14.934584019094473 15.166134094266454 14.58727054787596 14.876702321067569 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.534826 0.6763846443864168 -4.218483827484306 2.308853419679508  4.9743917611049255 14.471507151822152 14.876702321067569 15.166134094266454 16.497529564177967 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.5541334 2.3131375035227393 -6.749376207655587 2.4142558520834427  5.280121679359581 16.208097790986358 15.455565867458063 14.992489000185742 15.86076103670348 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.5688236 0.9085633622889873 1.4057732019282412 2.525479050586  5.429505820357008 16.208097790986358 16.78693805430521 16.381742885059793 16.323861187040166 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.585383 3.5041826614105958 -4.3379026646434795 2.5815213865207625  5.5955606354546035 16.613292960231774 16.497529564177967 16.613292960231774 16.960606431450287 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.6008902 2.2846390327322297 2.616702096791414 2.6965164414505125  5.611672515995451 16.960606431450287 16.960606431450287 16.67117465825868 16.729056356285582 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.6180117 -2.4588662376627326 1.902191417379072 2.8150039560350706  5.846552069371683 16.902724733423383 17.13427480858809 17.076369827504095 17.250038204641896 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.6446772 -2.6995898401874 -1.464702672092244 2.9907212428443017  5.91966089149355 17.423683298722608 17.192156506614992 17.365801600695704 17.250038204641896 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.666697 -0.6530317650613142 5.810579734919884 3.0477414674824104  5.739147293425049 17.655233373887313 17.481588279813877 17.481588279813877 17.3079199026688 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.677462 -2.092320955271134 -1.4780205849092454 -3.1163334093653248  5.978893007253646 17.539469977833505 17.365801600695704 17.481588279813877 17.59735167586041 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.6937451 6.346299763026764 -2.1993997683093767 -3.0019902802378056  5.8178440510018845 17.771020053005486 17.076369827504095 16.84484303539648 17.250038204641896 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.7171896 -3.0363328001840273 -4.0549668664098135 -2.9433868072155747  5.870813022447692 17.481588279813877 17.539469977833505 16.960606431450287 17.771020053005486 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.7428527 -4.418671614941559 1.6302917916545994 -2.711929864308331  5.7961209519417025 16.84484303539648 16.78693805430521 17.365801600695704 17.771020053005486 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.7625926 5.676306302688317 2.920941898919409 -2.654886356598581  5.762476923926442 16.729056356285582 16.323861187040166 17.01848812947719 16.67117465825868 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.7918446 -0.522204226363101 -2.6277150204768986 -2.4319975813778  5.680660235731921 16.55541126220487 15.802879338676576 16.902724733423383 16.729056356285582 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.811727 -2.9091374195268145 -2.459541446529329 -2.374465129316377  5.631742517485691 16.67117465825868 16.323861187040166 16.84484303539648 16.67117465825868 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.828005 -4.08777270410792 -4.374014697481471 -2.2661290307951276  5.512346963390883 16.78693805430521 16.67117465825868 16.902724733423383 16.55541126220487 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.8445268 2.00358916271216 3.6376877525108284 -2.1554180597158847  5.490600581266335 16.381742885059793 15.918666017794749 16.729056356285582 16.84484303539648 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.8572736 0.4178494976076763 -3.7885154777468415 -2.101215085858712  5.522544945582922 16.208097790986358 16.381742885059793 16.613292960231774 16.613292960231774 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.8771725 4.114897439852939 3.055308463408437 -1.9910861913886038  5.4202158776752185 16.26597948901326 16.092311111868185 16.323861187040166 16.208097790986358 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.8899977 -0.5289795980934286 1.5579745937211555 -1.8844497565660276  5.485035928883008 15.918666017794749 16.15019280989509 16.729056356285582 16.092311111868185 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.906461 5.318934547663957 2.8790789491831674 -1.8298742536790087  5.390506687537709 15.687115942622768 15.802879338676576 16.729056356285582 16.26597948901326 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.9265766 4.666612933186116 3.693683522324136 -1.7233542341855355  5.430716539711284 16.323861187040166 16.15019280989509 16.67117465825868 15.455565867458063 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.942873 -0.0025727957327035256 0.8151982741619577 -1.6701757151604397  5.285453501099255 16.323861187040166 16.15019280989509 16.381742885059793 16.092311111868185 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.9554582 1.8708756958003505 5.923060218890896 -1.5621888626119471  5.409133139037294 15.802879338676576 15.86076103670348 15.86076103670348 15.629234244595864 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054172.9754822 -2.8802431366420933 -4.442210793022241 -1.4569726947229356  5.448458234757709 16.03442941384128 15.687115942622768 15.687115942622768 16.208097790986358 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 -3.9215686274510517 
1646054173.0210626 -1.255178375817195 -8.778495267564722 -1.1942698794227908  5.305989163876802 15.86076103670348 15.281920773377351 14.934584019094473 15.744997640649672 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.0409312 -0.3312830985232722 5.020818191456783 -1.1400901886299835  5.3069670525801484 15.455565867458063 15.281920773377351 15.224015792286082 14.876702321067569 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.0535862 -1.997721864732739 -6.288511231497978 -1.0412768634414533  5.18272862109734 14.760938925021037 15.339802471404255 15.050370698212646 14.760938925021037 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.069984 1.8501072023791494 -8.333439492118487 -0.9433250116344425  4.9873837110208115 15.281920773377351 14.413625453802524 14.182075378630543 15.339802471404255 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
