[14:24:35.946] { id: 7, vel: { 0, 0}, pos: { -0.354391, 0.488046}, angle: 3.03395, w: 0 }

[14:24:35.956] { id: 7, vel: { 9.78821e-06, -3.66393e-06}, pos: { -0.354333, 0.488024}, angle: 3.03566, w: 0.000354712 }

[14:24:35.966] { id: 7, vel: { 9.78821e-06, -3.66393e-06}, pos: { -0.354333, 0.488024}, angle: 3.03566, w: 0.000354712 }

[14:24:35.976] { id: 7, vel: { -6.6054e-05, 0.000130277}, pos: { -0.354358, 0.488068}, angle: 3.0359, w: 0.00100276 }

[14:24:35.986] { id: 7, vel: { -6.6054e-05, 0.000130277}, pos: { -0.354358, 0.488068}, angle: 3.0359, w: 0.00100276 }

[14:24:35.996] { id: 7, vel: { 3.39944e-05, 0.000183307}, pos: { -0.354345, 0.488078}, angle: 3.03618, w: 0.00296689 }

[14:24:36.006] { id: 7, vel: { 0.00013255, 0.000382638}, pos: { -0.354335, 0.4881}, angle: 3.03648, w: 0.00574133 }

[14:24:36.016] { id: 7, vel: { 0.00013255, 0.000382638}, pos: { -0.354335, 0.4881}, angle: 3.03648, w: 0.00574133 }

[14:24:36.026] { id: 7, vel: { -0.00030724, 0.000524942}, pos: { -0.35437, 0.488118}, angle: 3.03591, w: -0.00319016 }

[14:24:36.036] { id: 7, vel: { -0.00030724, 0.000524942}, pos: { -0.35437, 0.488118}, angle: 3.03591, w: -0.00319016 }

[14:24:36.046] { id: 7, vel: { -0.000340096, 0.000470134}, pos: { -0.354378, 0.488123}, angle: 3.0356, w: -0.00671757 }

[14:24:36.056] { id: 7, vel: { -0.000340096, 0.000470134}, pos: { -0.354378, 0.488123}, angle: 3.0356, w: -0.00671757 }

[14:24:36.066] { id: 7, vel: { -0.000158147, 0.00022086}, pos: { -0.354368, 0.488108}, angle: 3.03602, w: 0.000493288 }

[14:24:36.076] { id: 7, vel: { 2.49518e-05, 0.000307987}, pos: { -0.354353, 0.48812}, angle: 3.03646, w: 0.00631118 }

[14:24:36.086] { id: 7, vel: { 2.49518e-05, 0.000307987}, pos: { -0.354353, 0.48812}, angle: 3.03646, w: 0.00631118 }

[14:24:36.096] { id: 7, vel: { -9.36252e-05, 6.28066e-05}, pos: { -0.354365, 0.488101}, angle: 3.03629, w: 0.00278373 }

[14:24:36.106] { id: 7, vel: { -9.36252e-05, 6.28066e-05}, pos: { -0.354365, 0.488101}, angle: 3.03629, w: 0.00278373 }

[14:24:36.116] { id: 7, vel: { -4.02526e-05, 0.000257499}, pos: { -0.35436, 0.488123}, angle: 3.03613, w: 0.000152948 }

