[14:24:50.558] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.175426, xSensAcc2: -0.269676, xSensYaw: 3.032235, rateOfTurn: 0.003644, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:24:50.559] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.202062, xSensAcc2: -0.780763, xSensYaw: 2.955354, rateOfTurn: -0.026252, wheelSp1: %&7f, wheelSp2: -8.335605, wheelSp3: -6.772683, wheelSp4: -5.672837

[14:24:50.567] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.380341, xSensAcc2: -2.972887, xSensYaw: 2.878590, rateOfTurn: -1.164048, wheelSp1: %&7f, wheelSp2: -32.474091, wheelSp3: -20.086473, wheelSp4: -22.517693

[14:24:50.599] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -4.298182, xSensAcc2: -6.607233, xSensYaw: 2.628833, rateOfTurn: -5.155581, wheelSp1: %&7f, wheelSp2: -35.657837, wheelSp3: -31.432148, wheelSp4: -32.705639

[14:24:50.616] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -1.335109, xSensAcc2: 1.825381, xSensYaw: 2.410344, rateOfTurn: -7.918931, wheelSp1: %&7f, wheelSp2: -39.188877, wheelSp3: -32.531994, wheelSp4: -31.605793

[14:24:50.632] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.275062, xSensAcc2: -1.233618, xSensYaw: 2.169458, rateOfTurn: -10.038133, wheelSp1: %&7f, wheelSp2: -34.963188, wheelSp3: -34.094917, wheelSp4: -33.110836

[14:24:50.649] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.138709, xSensAcc2: 0.765652, xSensYaw: 2.051692, rateOfTurn: -10.653317, wheelSp1: %&7f, wheelSp2: -34.789543, wheelSp3: -34.268562, wheelSp4: -32.705639

