[15:35:11.869] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.000012, xSensAcc2: -0.000012, xSensYaw: -0.000012, rateOfTurn: -0.000012, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:11.870] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.927190, xSensAcc2: 0.531075, xSensYaw: -0.064995, rateOfTurn: -1.028238, wheelSp1: %&7f, wheelSp2: -5.846506, wheelSp3: -6.020174, wheelSp4: -5.614955

[15:35:11.877] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.034703, xSensAcc2: -0.486441, xSensYaw: -0.088604, rateOfTurn: -1.428637, wheelSp1: %&7f, wheelSp2: -6.425369, wheelSp3: -6.656919, wheelSp4: -5.962269

[15:35:11.893] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -1.295179, xSensAcc2: -0.246440, xSensYaw: -0.135822, rateOfTurn: -1.957978, wheelSp1: %&7f, wheelSp2: -6.888446, wheelSp3: -6.656919, wheelSp4: -6.714801

[15:35:11.910] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.964489, xSensAcc2: -0.219268, xSensYaw: -0.183715, rateOfTurn: -2.210878, wheelSp1: %&7f, wheelSp2: -7.062114, wheelSp3: -6.830564, wheelSp4: -6.599014

[15:35:11.926] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.324484, xSensAcc2: -1.980120, xSensYaw: -0.205741, rateOfTurn: -2.243847, wheelSp1: %&7f, wheelSp2: -6.772683, wheelSp3: -7.004232, wheelSp4: -6.656919

[15:35:11.959] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.123598, xSensAcc2: -2.080470, xSensYaw: -0.289583, rateOfTurn: -2.157211, wheelSp1: %&7f, wheelSp2: -6.309582, wheelSp3: -6.599014, wheelSp4: -5.962269

[15:35:11.975] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.763952, xSensAcc2: 0.338850, xSensYaw: -0.309560, rateOfTurn: -2.123846, wheelSp1: %&7f, wheelSp2: -5.441310, wheelSp3: -6.599014, wheelSp4: -6.020174

[15:35:11.991] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.151189, xSensAcc2: -0.755757, xSensYaw: -0.350422, rateOfTurn: -2.051506, wheelSp1: %&7f, wheelSp2: -6.078055, wheelSp3: -6.020174, wheelSp4: -5.904387

[15:35:12.024] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.487217, xSensAcc2: 1.131359, xSensYaw: -0.409584, rateOfTurn: -2.007198, wheelSp1: %&7f, wheelSp2: -5.441310, wheelSp3: -6.309582, wheelSp4: -5.904387

[15:35:12.056] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.504261, xSensAcc2: 1.282583, xSensYaw: -0.491820, rateOfTurn: -2.038327, wheelSp1: %&7f, wheelSp2: -5.614955, wheelSp3: -5.904387, wheelSp4: -6.078055

[15:35:12.073] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.530796, xSensAcc2: 0.379200, xSensYaw: -0.513939, rateOfTurn: -2.058910, wheelSp1: %&7f, wheelSp2: -6.193819, wheelSp3: -6.367487, wheelSp4: -6.135937

[15:35:12.089] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.840740, xSensAcc2: -0.339013, xSensYaw: -0.556407, rateOfTurn: -2.098584, wheelSp1: %&7f, wheelSp2: -6.425369, wheelSp3: -5.962269, wheelSp4: -6.367487

[15:35:12.138] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.479185, xSensAcc2: 2.121262, xSensYaw: -0.664138, rateOfTurn: -2.144149, wheelSp1: %&7f, wheelSp2: -6.251701, wheelSp3: -6.251701, wheelSp4: -6.078055

[15:35:12.154] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.027672, xSensAcc2: -1.175131, xSensYaw: -0.685605, rateOfTurn: -2.141774, wheelSp1: %&7f, wheelSp2: -6.714801, wheelSp3: -6.483251, wheelSp4: -6.193819

[15:35:12.171] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -1.347868, xSensAcc2: -0.469096, xSensYaw: -0.728585, rateOfTurn: -2.149364, wheelSp1: %&7f, wheelSp2: -5.962269, wheelSp3: -6.078055, wheelSp4: -6.656919

[15:35:12.187] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.678876, xSensAcc2: -1.211942, xSensYaw: -0.773126, rateOfTurn: -2.160820, wheelSp1: %&7f, wheelSp2: -6.714801, wheelSp3: -6.656919, wheelSp4: -6.020174

[15:35:12.203] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.727444, xSensAcc2: -1.387380, xSensYaw: -0.793405, rateOfTurn: -2.153975, wheelSp1: %&7f, wheelSp2: -7.177878, wheelSp3: -6.193819, wheelSp4: -6.772683

[15:35:12.220] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.953251, xSensAcc2: 1.766894, xSensYaw: -0.837201, rateOfTurn: -2.163357, wheelSp1: %&7f, wheelSp2: -6.888446, wheelSp3: -5.846506, wheelSp4: -5.846506

