[16:11:14.868] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.564486, xSensAcc2: -0.302901, xSensYaw: -0.002759, rateOfTurn: -0.039104, wheelSp1: %&7f, wheelSp2: -7.467309, wheelSp3: -6.251701, wheelSp4: -5.441310

[16:11:14.870] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.886864, xSensAcc2: -5.149108, xSensYaw: -0.147859, rateOfTurn: -2.209528, wheelSp1: %&7f, wheelSp2: -28.943048, wheelSp3: -16.960630, wheelSp4: -18.755102

[16:11:14.886] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 4.793855, xSensAcc2: 4.483538, xSensYaw: -0.307744, rateOfTurn: -4.844728, wheelSp1: %&7f, wheelSp2: -25.354105, wheelSp3: -22.807123, wheelSp4: -21.996710

[16:11:14.918] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.015611, xSensAcc2: -0.237359, xSensYaw: -0.573776, rateOfTurn: -7.592503, wheelSp1: %&7f, wheelSp2: -24.601597, wheelSp3: -24.254282, wheelSp4: -23.733301

[16:11:14.951] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.414644, xSensAcc2: -0.690331, xSensYaw: -0.896410, rateOfTurn: -8.152717, wheelSp1: %&7f, wheelSp2: -23.906969, wheelSp3: -22.980768, wheelSp4: -22.286142

[16:11:14.968] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.886910, xSensAcc2: -2.071273, xSensYaw: -0.970450, rateOfTurn: -8.007081, wheelSp1: %&7f, wheelSp2: -23.038673, wheelSp3: -22.459810, wheelSp4: -21.880947

[16:11:14.984] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 2.810720, xSensAcc2: -0.853313, xSensYaw: -1.117156, rateOfTurn: -7.693481, wheelSp1: %&7f, wheelSp2: -22.170378, wheelSp3: -21.359964, wheelSp4: -20.549574

[16:11:15.000] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.510376, xSensAcc2: -0.327255, xSensYaw: -1.235597, rateOfTurn: -6.998738, wheelSp1: %&7f, wheelSp2: -9.898527, wheelSp3: -16.381765, wheelSp4: -13.661117

[16:11:15.033] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.510376, xSensAcc2: -0.327255, xSensYaw: -1.235597, rateOfTurn: -6.998738, wheelSp1: %&7f, wheelSp2: -9.898527, wheelSp3: -16.381765, wheelSp4: -13.661117

[16:11:15.049] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.510376, xSensAcc2: -0.327255, xSensYaw: -1.235597, rateOfTurn: -6.998738, wheelSp1: %&7f, wheelSp2: -9.898527, wheelSp3: -16.381765, wheelSp4: -13.661117

[16:11:15.066] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.510376, xSensAcc2: -0.327255, xSensYaw: -1.235597, rateOfTurn: -6.998738, wheelSp1: %&7f, wheelSp2: -9.898527, wheelSp3: -16.381765, wheelSp4: -13.661117

[16:11:15.082] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.510376, xSensAcc2: -0.327255, xSensYaw: -1.235597, rateOfTurn: -6.998738, wheelSp1: %&7f, wheelSp2: -9.898527, wheelSp3: -16.381765, wheelSp4: -13.661117

[16:11:15.098] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.510376, xSensAcc2: -0.327255, xSensYaw: -1.235597, rateOfTurn: -6.998738, wheelSp1: %&7f, wheelSp2: -9.898527, wheelSp3: -16.381765, wheelSp4: -13.661117

[16:11:15.115] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.510376, xSensAcc2: -0.327255, xSensYaw: -1.235597, rateOfTurn: -6.998738, wheelSp1: %&7f, wheelSp2: -9.898527, wheelSp3: -16.381765, wheelSp4: -13.661117

[16:11:15.131] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.869122, xSensAcc2: 0.258430, xSensYaw: -1.543097, rateOfTurn: -2.356933, wheelSp1: %&7f, wheelSp2: -6.251701, wheelSp3: -6.193819, wheelSp4: -6.656919

[16:11:15.147] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.853693, xSensAcc2: 0.142341, xSensYaw: -1.585262, rateOfTurn: -2.251833, wheelSp1: %&7f, wheelSp2: -7.004232, wheelSp3: -6.251701, wheelSp4: -6.193819

[16:11:15.164] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 2.004823, xSensAcc2: -1.129007, xSensYaw: -1.607754, rateOfTurn: -2.219074, wheelSp1: %&7f, wheelSp2: -5.962269, wheelSp3: -6.309582, wheelSp4: -5.672837

[16:11:15.180] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.586419, xSensAcc2: 1.312455, xSensYaw: -1.648103, rateOfTurn: -2.133835, wheelSp1: %&7f, wheelSp2: -5.788624, wheelSp3: -5.093997, wheelSp4: -5.614955

[16:11:15.229] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.317639, xSensAcc2: 1.125864, xSensYaw: -1.726148, rateOfTurn: -1.664541, wheelSp1: %&7f, wheelSp2: -5.093997, wheelSp3: -3.936270, wheelSp4: -3.357406

[16:11:15.262] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.215357, xSensAcc2: 0.145368, xSensYaw: -1.763261, rateOfTurn: -1.394644, wheelSp1: %&7f, wheelSp2: -2.836424, wheelSp3: -3.473170, wheelSp4: -3.878388

[16:11:15.344] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.086788, xSensAcc2: -0.305788, xSensYaw: -1.825683, rateOfTurn: -0.737293, wheelSp1: %&7f, wheelSp2: -1.273502, wheelSp3: -1.678697, wheelSp4: -2.083916

[16:11:15.360] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.006531, xSensAcc2: -0.444416, xSensYaw: -1.832761, rateOfTurn: -0.590587, wheelSp1: %&7f, wheelSp2: -1.273502, wheelSp3: -1.389289, wheelSp4: -0.984070

[16:11:15.409] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.000594, xSensAcc2: -0.258919, xSensYaw: -1.832878, rateOfTurn: -0.098033, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.115775, wheelSp4: 0.173657

[16:11:15.425] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.340363, xSensAcc2: -0.033935, xSensYaw: -1.828268, rateOfTurn: 0.066974, wheelSp1: %&7f, wheelSp2: 0.289420, wheelSp3: 0.115752, wheelSp4: 0.231538

[16:11:15.442] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.033050, xSensAcc2: -0.109605, xSensYaw: -1.826684, rateOfTurn: 0.113214, wheelSp1: %&7f, wheelSp2: 0.231538, wheelSp3: 0.173657, wheelSp4: 0.289420

[16:11:15.491] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.139826, xSensAcc2: -0.182109, xSensYaw: -1.829409, rateOfTurn: -0.007020, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.057893, wheelSp4: -0.173680

[16:11:15.523] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.013516, xSensAcc2: -0.399060, xSensYaw: -1.829129, rateOfTurn: -0.009115, wheelSp1: %&7f, wheelSp2: 0.057870, wheelSp3: 0.057870, wheelSp4: 0.057870

[16:11:15.556] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.123179, xSensAcc2: -0.293076, xSensYaw: -1.828733, rateOfTurn: 0.016938, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: 0.057870

[16:11:15.605] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.076450, xSensAcc2: -0.284298, xSensYaw: 0.070559, rateOfTurn: 0.005600, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:15.638] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.029604, xSensAcc2: -0.307674, xSensYaw: 0.070420, rateOfTurn: 0.002363, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.057893

[16:11:15.703] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.267487, xSensAcc2: -0.387675, xSensYaw: 0.066927, rateOfTurn: -0.048557, wheelSp1: %&7f, wheelSp2: -0.405207, wheelSp3: -0.752520, wheelSp4: -0.289443

[16:11:15.736] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.272819, xSensAcc2: -0.505976, xSensYaw: 0.058452, rateOfTurn: -0.177289, wheelSp1: %&7f, wheelSp2: -0.868307, wheelSp3: -0.984070, wheelSp4: -0.694639

[16:11:15.769] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.440504, xSensAcc2: 0.031490, xSensYaw: 0.047439, rateOfTurn: -0.298780, wheelSp1: %&7f, wheelSp2: -1.041952, wheelSp3: -0.984070, wheelSp4: -0.984070

[16:11:15.801] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.135263, xSensAcc2: 0.089395, xSensYaw: 0.038638, rateOfTurn: -0.379060, wheelSp1: %&7f, wheelSp2: -1.099857, wheelSp3: -0.926189, wheelSp4: -1.157739

[16:11:15.818] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.275753, xSensAcc2: -0.297197, xSensYaw: 0.033469, rateOfTurn: -0.406231, wheelSp1: %&7f, wheelSp2: -1.505052, wheelSp3: -1.215620, wheelSp4: -1.447170

[16:11:15.834] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.026624, xSensAcc2: -0.183855, xSensYaw: 0.020757, rateOfTurn: -0.494451, wheelSp1: %&7f, wheelSp2: -1.562934, wheelSp3: -1.331384, wheelSp4: -1.736602

[16:11:15.850] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.268838, xSensAcc2: -0.629842, xSensYaw: 0.006135, rateOfTurn: -0.592542, wheelSp1: %&7f, wheelSp2: -1.620816, wheelSp3: -1.736602, wheelSp4: -2.083916

[16:11:15.883] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.024482, xSensAcc2: -0.614428, xSensYaw: -0.010792, rateOfTurn: -0.616338, wheelSp1: %&7f, wheelSp2: -1.736602, wheelSp3: -1.620816, wheelSp4: -1.678697

[16:11:15.899] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.060734, xSensAcc2: -0.579201, xSensYaw: -0.018638, rateOfTurn: -0.527583, wheelSp1: %&7f, wheelSp2: -1.447170, wheelSp3: -1.794484, wheelSp4: -1.273502

[16:11:15.932] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.029651, xSensAcc2: 0.122387, xSensYaw: -0.033143, rateOfTurn: -0.457314, wheelSp1: %&7f, wheelSp2: -1.215620, wheelSp3: -1.157739, wheelSp4: -0.810425

[16:11:15.981] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.719295, xSensAcc2: -0.068627, xSensYaw: -0.031840, rateOfTurn: -0.091747, wheelSp1: %&7f, wheelSp2: 0.115752, wheelSp3: 0.347302, wheelSp4: 0.463088

[16:11:15.997] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.426977, xSensAcc2: -0.369770, xSensYaw: -0.029837, rateOfTurn: -0.007299, wheelSp1: %&7f, wheelSp2: 0.289420, wheelSp3: 0.405184, wheelSp4: 0.405184

[16:11:16.014] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.426977, xSensAcc2: -0.369770, xSensYaw: -0.029837, rateOfTurn: -0.007299, wheelSp1: %&7f, wheelSp2: 0.289420, wheelSp3: 0.405184, wheelSp4: 0.405184

[16:11:16.030] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.426977, xSensAcc2: -0.369770, xSensYaw: -0.029837, rateOfTurn: -0.007299, wheelSp1: %&7f, wheelSp2: 0.289420, wheelSp3: 0.405184, wheelSp4: 0.405184

[16:11:16.063] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.426977, xSensAcc2: -0.369770, xSensYaw: -0.029837, rateOfTurn: -0.007299, wheelSp1: %&7f, wheelSp2: 0.289420, wheelSp3: 0.405184, wheelSp4: 0.405184

[16:11:16.079] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.426977, xSensAcc2: -0.369770, xSensYaw: -0.029837, rateOfTurn: -0.007299, wheelSp1: %&7f, wheelSp2: 0.289420, wheelSp3: 0.405184, wheelSp4: 0.405184

[16:11:16.112] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.426977, xSensAcc2: -0.369770, xSensYaw: -0.029837, rateOfTurn: -0.007299, wheelSp1: %&7f, wheelSp2: 0.289420, wheelSp3: 0.405184, wheelSp4: 0.405184

[16:11:16.128] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.237219, xSensAcc2: -0.364927, xSensYaw: -0.018848, rateOfTurn: -0.008463, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: -0.000012

[16:11:16.161] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.030769, xSensAcc2: -0.295870, xSensYaw: -0.018755, rateOfTurn: 0.001548, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.177] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.099197, xSensAcc2: -0.276824, xSensYaw: -0.018568, rateOfTurn: 0.007276, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.194] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.113307, xSensAcc2: -0.222900, xSensYaw: -0.018615, rateOfTurn: 0.008184, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[16:11:16.210] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.054308, xSensAcc2: -0.275753, xSensYaw: -0.018708, rateOfTurn: 0.006484, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

