[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -0.000012, xSensAcc2: -0.000012, xSensYaw: -0.000012, rateOfTurn: -0.000012, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: 0.023691, xSensAcc2: -0.096567, xSensYaw: 0.023551, rateOfTurn: 0.005739, wheelSp1: %&7f, wheelSp2: -4.804565, wheelSp3: -0.115775, wheelSp4: 2.315443

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -0.001991, xSensAcc2: -0.089558, xSensYaw: 0.023574, rateOfTurn: 0.008719, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -0.573520, xSensAcc2: -0.218058, xSensYaw: 0.022154, rateOfTurn: -0.006275, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: -0.115775, wheelSp4: 0.115752

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -0.573520, xSensAcc2: -0.218058, xSensYaw: 0.022154, rateOfTurn: -0.019406, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.173680, wheelSp4: 0.231538

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -0.523811, xSensAcc2: -0.360340, xSensYaw: 0.022643, rateOfTurn: -0.014913, wheelSp1: %&7f, wheelSp2: 0.057870, wheelSp3: 0.173657, wheelSp4: -0.231562

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: 0.807119, xSensAcc2: 0.027672, xSensYaw: 0.023621, rateOfTurn: 0.002037, wheelSp1: %&7f, wheelSp2: 0.057870, wheelSp3: 0.115752, wheelSp4: 0.231538

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: 0.807119, xSensAcc2: 0.027672, xSensYaw: 0.023621, rateOfTurn: 0.002037, wheelSp1: %&7f, wheelSp2: 0.057870, wheelSp3: 0.115752, wheelSp4: 0.231538

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: 0.807119, xSensAcc2: 0.027672, xSensYaw: 0.023621, rateOfTurn: 0.002037, wheelSp1: %&7f, wheelSp2: 0.057870, wheelSp3: 0.115752, wheelSp4: 0.231538

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: 0.807119, xSensAcc2: 0.027672, xSensYaw: 0.023621, rateOfTurn: 0.002037, wheelSp1: %&7f, wheelSp2: 0.057870, wheelSp3: 0.115752, wheelSp4: 0.231538

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: 0.807119, xSensAcc2: 0.027672, xSensYaw: 0.023621, rateOfTurn: 0.002037, wheelSp1: %&7f, wheelSp2: 0.057870, wheelSp3: 0.115752, wheelSp4: 0.231538

