[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.058801, xSensAcc2: -0.126718, xSensYaw: 0.058732, rateOfTurn: 0.010047, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.057893

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.035262, xSensAcc2: -0.114192, xSensYaw: 0.084389, rateOfTurn: 0.011513, wheelSp1: %&7f, wheelSp2: 1.505029, wheelSp3: 0.868284, wheelSp4: 2.141774

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.089419, xSensAcc2: -0.497198, xSensYaw: 0.084715, rateOfTurn: 0.017870, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -1.691061, xSensAcc2: -0.177452, xSensYaw: 0.091398, rateOfTurn: 0.113563, wheelSp1: %&7f, wheelSp2: 1.215597, wheelSp3: 0.347302, wheelSp4: 0.578852

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 1.283560, xSensAcc2: -0.018987, xSensYaw: 0.097335, rateOfTurn: 0.210723, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: 0.231538, wheelSp4: 0.231538

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.608817, xSensAcc2: -0.102667, xSensYaw: 0.097381, rateOfTurn: 0.224763, wheelSp1: %&7f, wheelSp2: 0.926165, wheelSp3: -0.000012, wheelSp4: -0.347325

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.378361, xSensAcc2: -0.129908, xSensYaw: 0.097381, rateOfTurn: 0.071304, wheelSp1: %&7f, wheelSp2: 0.694615, wheelSp3: -0.000012, wheelSp4: -0.057893

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.539736, xSensAcc2: 0.009302, xSensYaw: 0.097381, rateOfTurn: 0.057591, wheelSp1: %&7f, wheelSp2: 0.289420, wheelSp3: -0.289443, wheelSp4: 0.057870

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.757177, xSensAcc2: -0.496127, xSensYaw: 0.098289, rateOfTurn: 0.014447, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: 0.057870

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.169931, xSensAcc2: -0.040734, xSensYaw: 0.097731, rateOfTurn: 0.019756, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.169931, xSensAcc2: -0.040734, xSensYaw: 0.097731, rateOfTurn: 0.015658, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: 0.057870, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.200991, xSensAcc2: -0.123715, xSensYaw: 0.097661, rateOfTurn: 0.009721, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.012864, xSensAcc2: -0.001921, xSensYaw: 0.097917, rateOfTurn: 0.012515, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: 0.057870

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.019942, xSensAcc2: -0.039057, xSensYaw: 0.098103, rateOfTurn: 0.011350, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.077731, xSensAcc2: -0.161899, xSensYaw: 0.097987, rateOfTurn: 0.014191, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.035355, xSensAcc2: -0.087812, xSensYaw: 0.097940, rateOfTurn: 0.011118, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.057754, xSensAcc2: -0.087393, xSensYaw: 0.098010, rateOfTurn: 0.010163, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.032166, xSensAcc2: -0.093051, xSensYaw: 0.098150, rateOfTurn: 0.010792, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.020082, xSensAcc2: -0.104203, xSensYaw: 0.068813, rateOfTurn: 0.012328, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.208302, xSensAcc2: -0.145554, xSensYaw: 0.070210, rateOfTurn: 0.030117, wheelSp1: %&7f, wheelSp2: 0.115752, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.062014, xSensAcc2: -0.119198, xSensYaw: 0.070140, rateOfTurn: 0.032049, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.062014, xSensAcc2: -0.119198, xSensYaw: 0.070140, rateOfTurn: 0.032049, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.062014, xSensAcc2: -0.119198, xSensYaw: 0.070140, rateOfTurn: 0.032049, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.062014, xSensAcc2: -0.119198, xSensYaw: 0.070140, rateOfTurn: 0.032049, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.062014, xSensAcc2: -0.119198, xSensYaw: 0.070140, rateOfTurn: 0.032049, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.062014, xSensAcc2: -0.119198, xSensYaw: 0.070140, rateOfTurn: 0.032049, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.062014, xSensAcc2: -0.119198, xSensYaw: 0.070140, rateOfTurn: 0.032049, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.092003, xSensAcc2: -0.134914, xSensYaw: 0.070047, rateOfTurn: 0.012771, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.033143, xSensAcc2: -0.124599, xSensYaw: 0.069954, rateOfTurn: 0.012119, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.034727, xSensAcc2: -0.076031, xSensYaw: 0.070047, rateOfTurn: 0.010512, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.036380, xSensAcc2: -0.086904, xSensYaw: 0.070210, rateOfTurn: 0.012468, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.003201, xSensAcc2: -0.129698, xSensYaw: 0.070210, rateOfTurn: 0.013097, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.007811, xSensAcc2: -0.140362, xSensYaw: 0.070047, rateOfTurn: 0.010582, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.009302, xSensAcc2: -0.110699, xSensYaw: 0.070140, rateOfTurn: 0.009325, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: -0.005483, xSensAcc2: -0.085786, xSensYaw: 0.070210, rateOfTurn: 0.010116, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.025856, xSensAcc2: -0.100920, xSensYaw: 0.070280, rateOfTurn: 0.012305, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.044482, xSensAcc2: -0.134029, xSensYaw: 0.070257, rateOfTurn: 0.011816, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.023411, xSensAcc2: -0.103691, xSensYaw: 0.070257, rateOfTurn: 0.010815, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.039546, xSensAcc2: -0.118313, xSensYaw: 0.070303, rateOfTurn: 0.010792, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.057055, xSensAcc2: -0.109558, xSensYaw: 0.070350, rateOfTurn: 0.011374, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.041618, xSensAcc2: -0.118825, xSensYaw: 0.070373, rateOfTurn: 0.011630, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.031048, xSensAcc2: -0.106788, xSensYaw: 0.070373, rateOfTurn: 0.010047, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.027416, xSensAcc2: -0.126346, xSensYaw: 0.070420, rateOfTurn: 0.010536, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.021828, xSensAcc2: -0.126532, xSensYaw: 0.070466, rateOfTurn: 0.010955, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.027043, xSensAcc2: -0.114611, xSensYaw: 0.070466, rateOfTurn: 0.011025, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.035146, xSensAcc2: -0.106019, xSensYaw: 0.070489, rateOfTurn: 0.010978, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.035588, xSensAcc2: -0.116380, xSensYaw: 0.070513, rateOfTurn: 0.010792, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

