[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.041618, xSensAcc2: -0.139989, xSensYaw: -3.124040, rateOfTurn: 0.015215, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.079221, xSensAcc2: -0.109698, xSensYaw: 3.104738, rateOfTurn: 0.014703, wheelSp1: %&7f, wheelSp2: 0.347302, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.070839, xSensAcc2: -0.117847, xSensYaw: 3.104762, rateOfTurn: 0.014494, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.072143, xSensAcc2: -0.127603, xSensYaw: 3.104785, rateOfTurn: 0.014168, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.072352, xSensAcc2: -0.112981, xSensYaw: 3.104738, rateOfTurn: 0.014028, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.067649, xSensAcc2: -0.127743, xSensYaw: 3.104738, rateOfTurn: 0.013749, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.062154, xSensAcc2: -0.108720, xSensYaw: 3.104738, rateOfTurn: 0.013772, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.074797, xSensAcc2: -0.118988, xSensYaw: 3.104762, rateOfTurn: 0.014470, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.072143, xSensAcc2: -0.140246, xSensYaw: 3.104785, rateOfTurn: 0.014983, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.054308, xSensAcc2: -0.110304, xSensYaw: 3.104762, rateOfTurn: 0.014843, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.065600, xSensAcc2: -0.124762, xSensYaw: 3.104785, rateOfTurn: 0.014657, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

