[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.484020, xSensAcc2: 0.037451, xSensYaw: 0.007765, rateOfTurn: 0.006484, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: -0.238267, xSensAcc2: -0.188721, xSensYaw: -0.111025, rateOfTurn: 0.467047, wheelSp1: %&7f, wheelSp2: 1.620792, wheelSp3: 3.357383, wheelSp4: 2.604851

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.694173, xSensAcc2: 0.024156, xSensYaw: -0.104506, rateOfTurn: 0.548048, wheelSp1: %&7f, wheelSp2: 1.215597, wheelSp3: 3.531028, wheelSp4: 2.662756

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: -0.068441, xSensAcc2: -1.110660, xSensYaw: -0.087696, rateOfTurn: 0.658038, wheelSp1: %&7f, wheelSp2: 2.026011, wheelSp3: 2.083892, wheelSp4: 2.662756

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.871613, xSensAcc2: 0.325602, xSensYaw: -0.074192, rateOfTurn: 0.710913, wheelSp1: %&7f, wheelSp2: 1.794461, wheelSp3: 3.704696, wheelSp4: 2.662756

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: -0.542321, xSensAcc2: -0.232586, xSensYaw: -0.054936, rateOfTurn: 0.680017, wheelSp1: %&7f, wheelSp2: 1.736579, wheelSp3: 2.141774, wheelSp4: 2.546969

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.757619, xSensAcc2: 0.017311, xSensYaw: -0.045786, rateOfTurn: 0.604300, wheelSp1: %&7f, wheelSp2: 0.926165, wheelSp3: 2.546969, wheelSp4: 2.257538

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.697828, xSensAcc2: 0.112539, xSensYaw: -0.042364, rateOfTurn: 0.559271, wheelSp1: %&7f, wheelSp2: 0.926165, wheelSp3: 1.678674, wheelSp4: 2.199656

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: -0.287697, xSensAcc2: -0.555150, xSensYaw: -0.032701, rateOfTurn: 0.489282, wheelSp1: %&7f, wheelSp2: 0.810402, wheelSp3: 1.968106, wheelSp4: 2.199656

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 1.004187, xSensAcc2: 0.298454, xSensYaw: -0.028650, rateOfTurn: 0.454334, wheelSp1: %&7f, wheelSp2: 0.636734, wheelSp3: 1.852342, wheelSp4: 1.910224

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: -0.034261, xSensAcc2: -0.545930, xSensYaw: -0.024016, rateOfTurn: 0.394799, wheelSp1: %&7f, wheelSp2: 0.405184, wheelSp3: 0.115752, wheelSp4: 1.215597

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.668655, xSensAcc2: 0.402622, xSensYaw: -0.024389, rateOfTurn: 0.239082, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: 0.810402, wheelSp4: 0.694615

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 1.147494, xSensAcc2: 0.597828, xSensYaw: -0.024785, rateOfTurn: 0.172632, wheelSp1: %&7f, wheelSp2: -0.405207, wheelSp3: -0.405207, wheelSp4: 0.578852

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.065786, xSensAcc2: -0.033516, xSensYaw: -0.025530, rateOfTurn: 0.045856, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: 0.578852, wheelSp4: 0.115752

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.705954, xSensAcc2: 0.124134, xSensYaw: -0.026368, rateOfTurn: 0.001432, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.231562, wheelSp4: 0.115752

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.705954, xSensAcc2: 0.124134, xSensYaw: -0.026368, rateOfTurn: 0.001432, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.231562, wheelSp4: 0.115752

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.705954, xSensAcc2: 0.124134, xSensYaw: -0.026368, rateOfTurn: 0.001432, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.231562, wheelSp4: 0.115752

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.705954, xSensAcc2: 0.124134, xSensYaw: -0.026368, rateOfTurn: 0.001432, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.231562, wheelSp4: 0.115752

[14:57:24] Id:  7, MsgId:     0, xSensAcc1: 0.705954, xSensAcc2: 0.124134, xSensYaw: -0.026368, rateOfTurn: 0.001432, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.231562, wheelSp4: 0.115752

